order_id,order_date,category,product_name,unit_price_rm,quantity,total_sales_rm,region,state,payment_method
ORD10000,2025-12-28,Electronics,Laptop,4404,2,8808,East Malaysia,Sarawak,GrabPay
ORD10001,2025-04-13,Home,Desk Lamp,698,2,1396,East Malaysia,Sabah,Credit Card
ORD10002,2025-07-18,Fashion,Sneakers,123,4,492,West Malaysia,Pahang,Credit Card
ORD10003,2025-03-25,Fashion,Sunglasses,85,1,85,East Malaysia,Sarawak,TNG eWallet
ORD10004,2025-09-29,Fashion,T-Shirt,80,1,80,West Malaysia,Penang,Credit Card
ORD10005,2025-10-27,Home,Desk Lamp,580,1,580,West Malaysia,Pahang,Credit Card
ORD10006,2025-07-16,Electronics,Smartphone,4242,2,8484,West Malaysia,Pahang,GrabPay
ORD10007,2025-02-15,Electronics,Smartwatch,4109,4,16436,East Malaysia,Sarawak,GrabPay
ORD10008,2025-08-20,Home,Coffee Maker,698,1,698,West Malaysia,Kuala Lumpur,Credit Card
ORD10009,2025-09-21,Electronics,Smartphone,3991,4,15964,West Malaysia,Penang,FPX
ORD10010,2025-08-01,Electronics,Smartphone,1427,1,1427,West Malaysia,Kedah,FPX
ORD10011,2025-05-19,Fashion,T-Shirt,173,1,173,East Malaysia,Sarawak,FPX
ORD10012,2025-08-28,Home,Desk Lamp,737,1,737,West Malaysia,Johor,GrabPay
ORD10013,2025-05-17,Fashion,T-Shirt,334,2,668,West Malaysia,Penang,TNG eWallet
ORD10014,2025-05-20,Home,Coffee Maker,793,4,3172,East Malaysia,Sabah,FPX
ORD10015,2025-03-19,Fashion,Sneakers,95,3,285,East Malaysia,Sarawak,Credit Card
ORD10016,2025-02-09,Fashion,Sunglasses,84,2,168,East Malaysia,Sarawak,TNG eWallet
ORD10017,2025-07-22,Fashion,Backpack,90,4,360,East Malaysia,Sabah,FPX
ORD10018,2025-08-12,Fashion,Sunglasses,62,2,124,East Malaysia,Sabah,Credit Card
ORD10019,2025-11-23,Electronics,Wireless Earbuds,4314,4,17256,East Malaysia,Sarawak,FPX
ORD10020,2025-04-15,Fashion,Sneakers,55,3,165,West Malaysia,Penang,Credit Card
ORD10021,2025-01-27,Fashion,Backpack,70,2,140,West Malaysia,Melaka,Credit Card
ORD10022,2025-10-15,Fashion,Sneakers,292,1,292,East Malaysia,Sarawak,GrabPay
ORD10023,2025-04-22,Home,Coffee Maker,546,2,1092,West Malaysia,Johor,TNG eWallet
ORD10024,2025-02-13,Home,Desk Lamp,186,3,558,East Malaysia,Sabah,Credit Card
ORD10025,2025-03-31,Home,Air Purifier,753,4,3012,West Malaysia,Melaka,Credit Card
ORD10026,2025-07-31,Home,Coffee Maker,604,3,1812,East Malaysia,Sarawak,Credit Card
ORD10027,2025-09-21,Electronics,Smartwatch,1828,1,1828,West Malaysia,Kedah,FPX
ORD10028,2025-12-24,Home,Air Purifier,126,2,252,West Malaysia,Penang,GrabPay
ORD10029,2025-02-19,Electronics,Wireless Earbuds,390,1,390,East Malaysia,Sabah,TNG eWallet
ORD10030,2025-07-29,Electronics,Wireless Earbuds,3354,3,10062,West Malaysia,Kedah,FPX
ORD10031,2025-02-16,Electronics,Laptop,1022,2,2044,West Malaysia,Selangor,GrabPay
ORD10032,2025-09-26,Electronics,Smartwatch,2839,4,11356,East Malaysia,Sabah,Credit Card
ORD10033,2025-07-22,Home,Coffee Maker,668,3,2004,East Malaysia,Sarawak,Credit Card
ORD10034,2025-12-13,Home,Air Purifier,410,4,1640,West Malaysia,Johor,TNG eWallet
ORD10035,2025-11-28,Electronics,Smartphone,713,1,713,West Malaysia,Kuala Lumpur,TNG eWallet
ORD10036,2025-08-12,Electronics,Wireless Earbuds,3875,2,7750,West Malaysia,Selangor,TNG eWallet
ORD10037,2025-11-28,Electronics,Smartwatch,1528,4,6112,West Malaysia,Selangor,FPX
ORD10038,2025-02-09,Electronics,Wireless Earbuds,2968,3,8904,West Malaysia,Kedah,Credit Card
ORD10039,2025-11-19,Electronics,Smartphone,381,2,762,West Malaysia,Kedah,GrabPay
ORD10040,2025-10-09,Fashion,T-Shirt,153,3,459,West Malaysia,Melaka,TNG eWallet
ORD10041,2025-08-28,Electronics,Smartwatch,654,2,1308,West Malaysia,Kedah,Credit Card
ORD10042,2025-09-20,Electronics,Smartphone,2018,3,6054,West Malaysia,Kedah,GrabPay
ORD10043,2025-12-07,Electronics,Laptop,1439,1,1439,West Malaysia,Melaka,GrabPay
ORD10044,2025-07-05,Electronics,Wireless Earbuds,1868,3,5604,East Malaysia,Sarawak,FPX
ORD10045,2025-11-11,Electronics,Smartphone,3592,2,7184,East Malaysia,Sarawak,GrabPay
ORD10046,2025-01-13,Home,Coffee Maker,529,2,1058,West Malaysia,Penang,FPX
ORD10047,2025-05-02,Fashion,Sneakers,311,3,933,West Malaysia,Kedah,FPX
ORD10048,2025-01-28,Fashion,Sneakers,65,2,130,West Malaysia,Perak,TNG eWallet
ORD10049,2025-03-21,Electronics,Smartwatch,1268,4,5072,East Malaysia,Sabah,Credit Card
ORD10050,2025-10-27,Home,Coffee Maker,395,3,1185,East Malaysia,Sabah,GrabPay
ORD10051,2025-11-25,Electronics,Smartphone,3744,4,14976,West Malaysia,Kuala Lumpur,TNG eWallet
ORD10052,2025-12-09,Fashion,Backpack,125,2,250,East Malaysia,Sabah,TNG eWallet
ORD10053,2025-06-22,Home,Desk Lamp,665,3,1995,East Malaysia,Sarawak,Credit Card
ORD10054,2025-11-25,Home,Office Chair,698,2,1396,West Malaysia,Selangor,FPX
ORD10055,2025-04-06,Fashion,Sneakers,266,2,532,West Malaysia,Melaka,GrabPay
ORD10056,2025-07-02,Electronics,Laptop,4234,4,16936,East Malaysia,Sabah,TNG eWallet
ORD10057,2025-01-30,Home,Air Purifier,380,1,380,East Malaysia,Sarawak,Credit Card
ORD10058,2025-11-02,Electronics,Smartwatch,4335,4,17340,West Malaysia,Melaka,FPX
ORD10059,2025-12-13,Electronics,Smartwatch,2927,3,8781,East Malaysia,Sarawak,FPX
ORD10060,2025-03-29,Fashion,Sneakers,261,1,261,East Malaysia,Sarawak,FPX
