order_id,order_date,category,product_name,unit_price_rm,quantity,total_sales_rm,region,state,payment_method
ORD10000,2025-12-28,Electronics,Laptop,4404,2,8808,East Malaysia,Sarawak,GrabPay
ORD10001,2025-04-13,Home,Desk Lamp,698,2,1396,East Malaysia,Sabah,Credit Card
ORD10003,2025-03-25,Fashion,Sunglasses,85,1,85,East Malaysia,Sarawak,TNG eWallet
ORD10007,2025-02-15,Electronics,Smartwatch,4109,4,16436,East Malaysia,Sarawak,GrabPay
ORD10011,2025-05-19,Fashion,T-Shirt,173,1,173,East Malaysia,Sarawak,FPX
ORD10014,2025-05-20,Home,Coffee Maker,793,4,3172,East Malaysia,Sabah,FPX
ORD10015,2025-03-19,Fashion,Sneakers,95,3,285,East Malaysia,Sarawak,Credit Card
ORD10016,2025-02-09,Fashion,Sunglasses,84,2,168,East Malaysia,Sarawak,TNG eWallet
ORD10017,2025-07-22,Fashion,Backpack,90,4,360,East Malaysia,Sabah,FPX
ORD10018,2025-08-12,Fashion,Sunglasses,62,2,124,East Malaysia,Sabah,Credit Card
ORD10019,2025-11-23,Electronics,Wireless Earbuds,4314,4,17256,East Malaysia,Sarawak,FPX
ORD10022,2025-10-15,Fashion,Sneakers,292,1,292,East Malaysia,Sarawak,GrabPay
ORD10024,2025-02-13,Home,Desk Lamp,186,3,558,East Malaysia,Sabah,Credit Card
ORD10026,2025-07-31,Home,Coffee Maker,604,3,1812,East Malaysia,Sarawak,Credit Card
ORD10029,2025-02-19,Electronics,Wireless Earbuds,390,1,390,East Malaysia,Sabah,TNG eWallet
ORD10032,2025-09-26,Electronics,Smartwatch,2839,4,11356,East Malaysia,Sabah,Credit Card
ORD10033,2025-07-22,Home,Coffee Maker,668,3,2004,East Malaysia,Sarawak,Credit Card
ORD10044,2025-07-05,Electronics,Wireless Earbuds,1868,3,5604,East Malaysia,Sarawak,FPX
ORD10045,2025-11-11,Electronics,Smartphone,3592,2,7184,East Malaysia,Sarawak,GrabPay
ORD10049,2025-03-21,Electronics,Smartwatch,1268,4,5072,East Malaysia,Sabah,Credit Card
ORD10050,2025-10-27,Home,Coffee Maker,395,3,1185,East Malaysia,Sabah,GrabPay
ORD10052,2025-12-09,Fashion,Backpack,125,2,250,East Malaysia,Sabah,TNG eWallet
ORD10053,2025-06-22,Home,Desk Lamp,665,3,1995,East Malaysia,Sarawak,Credit Card
ORD10056,2025-07-02,Electronics,Laptop,4234,4,16936,East Malaysia,Sabah,TNG eWallet
ORD10057,2025-01-30,Home,Air Purifier,380,1,380,East Malaysia,Sarawak,Credit Card
ORD10059,2025-12-13,Electronics,Smartwatch,2927,3,8781,East Malaysia,Sarawak,FPX
ORD10060,2025-03-29,Fashion,Sneakers,261,1,261,East Malaysia,Sarawak,FPX
ORD10062,2025-12-27,Fashion,Sneakers,228,4,912,East Malaysia,Sabah,TNG eWallet
ORD10064,2025-04-28,Fashion,T-Shirt,256,4,1024,East Malaysia,Sabah,Credit Card
ORD10065,2025-03-30,Electronics,Laptop,2014,1,2014,East Malaysia,Sabah,Credit Card
ORD10066,2025-10-16,Electronics,Smartwatch,3586,4,14344,East Malaysia,Sabah,GrabPay
ORD10067,2025-10-22,Home,Air Purifier,377,2,754,East Malaysia,Sarawak,Credit Card
ORD10068,2025-09-16,Home,Air Purifier,685,1,685,East Malaysia,Sarawak,TNG eWallet
ORD10069,2025-01-26,Fashion,Sneakers,69,2,138,East Malaysia,Sabah,Credit Card
ORD10071,2025-06-29,Home,Air Purifier,407,2,814,East Malaysia,Sabah,FPX
ORD10072,2025-02-16,Home,Desk Lamp,115,3,345,East Malaysia,Sarawak,Credit Card
ORD10074,2025-05-15,Fashion,Sunglasses,323,1,323,East Malaysia,Sabah,Credit Card
ORD10075,2025-12-12,Electronics,Laptop,3022,1,3022,East Malaysia,Sabah,FPX
ORD10076,2025-12-25,Home,Office Chair,574,1,574,East Malaysia,Sabah,Credit Card
ORD10077,2025-02-01,Fashion,Backpack,289,1,289,East Malaysia,Sabah,GrabPay
ORD10078,2025-02-10,Fashion,Backpack,285,2,570,East Malaysia,Sabah,FPX
ORD10081,2025-01-02,Fashion,Sunglasses,376,2,752,East Malaysia,Sarawak,TNG eWallet
ORD10083,2025-10-27,Home,Air Purifier,215,4,860,East Malaysia,Sabah,Credit Card
ORD10085,2025-04-20,Electronics,Laptop,2011,1,2011,East Malaysia,Sarawak,FPX
ORD10086,2025-02-10,Electronics,Laptop,3823,2,7646,East Malaysia,Sarawak,Credit Card
ORD10088,2025-07-15,Fashion,Sunglasses,330,1,330,East Malaysia,Sabah,TNG eWallet
ORD10089,2025-09-25,Fashion,Sunglasses,314,3,942,East Malaysia,Sabah,Credit Card
ORD10093,2025-04-04,Home,Air Purifier,125,1,125,East Malaysia,Sarawak,Credit Card
ORD10095,2025-11-30,Fashion,Backpack,378,2,756,East Malaysia,Sarawak,TNG eWallet
ORD10096,2025-02-01,Home,Air Purifier,292,1,292,East Malaysia,Sabah,Credit Card
ORD10097,2025-08-18,Fashion,Backpack,263,1,263,East Malaysia,Sarawak,GrabPay
ORD10098,2025-10-09,Electronics,Wireless Earbuds,1616,3,4848,East Malaysia,Sabah,GrabPay
ORD10100,2025-02-06,Fashion,Backpack,94,4,376,East Malaysia,Sarawak,TNG eWallet
ORD10101,2025-09-17,Fashion,Sneakers,98,1,98,East Malaysia,Sarawak,TNG eWallet
ORD10103,2025-06-16,Electronics,Smartwatch,1227,1,1227,East Malaysia,Sabah,GrabPay
ORD10104,2025-07-09,Electronics,Laptop,2150,2,4300,East Malaysia,Sarawak,Credit Card
ORD10105,2025-02-19,Fashion,Sneakers,232,3,696,East Malaysia,Sarawak,FPX
ORD10112,2025-04-23,Electronics,Laptop,2006,4,8024,East Malaysia,Sabah,TNG eWallet
ORD10117,2025-06-26,Electronics,Smartphone,2093,3,6279,East Malaysia,Sabah,Credit Card
ORD10118,2025-01-17,Home,Coffee Maker,149,4,596,East Malaysia,Sarawak,Credit Card
ORD10120,2025-04-04,Home,Desk Lamp,736,2,1472,East Malaysia,Sarawak,FPX
