order_id,order_date,category,product_name,unit_price_rm,quantity,total_sales_rm,region,state,payment_method
ORD10002,2025-07-18,Fashion,Sneakers,123,4,492,West Malaysia,Pahang,Credit Card
ORD10004,2025-09-29,Fashion,T-Shirt,80,1,80,West Malaysia,Penang,Credit Card
ORD10005,2025-10-27,Home,Desk Lamp,580,1,580,West Malaysia,Pahang,Credit Card
ORD10006,2025-07-16,Electronics,Smartphone,4242,2,8484,West Malaysia,Pahang,GrabPay
ORD10008,2025-08-20,Home,Coffee Maker,698,1,698,West Malaysia,Kuala Lumpur,Credit Card
ORD10009,2025-09-21,Electronics,Smartphone,3991,4,15964,West Malaysia,Penang,FPX
ORD10010,2025-08-01,Electronics,Smartphone,1427,1,1427,West Malaysia,Kedah,FPX
ORD10012,2025-08-28,Home,Desk Lamp,737,1,737,West Malaysia,Johor,GrabPay
ORD10013,2025-05-17,Fashion,T-Shirt,334,2,668,West Malaysia,Penang,TNG eWallet
ORD10020,2025-04-15,Fashion,Sneakers,55,3,165,West Malaysia,Penang,Credit Card
ORD10021,2025-01-27,Fashion,Backpack,70,2,140,West Malaysia,Melaka,Credit Card
ORD10023,2025-04-22,Home,Coffee Maker,546,2,1092,West Malaysia,Johor,TNG eWallet
ORD10025,2025-03-31,Home,Air Purifier,753,4,3012,West Malaysia,Melaka,Credit Card
ORD10027,2025-09-21,Electronics,Smartwatch,1828,1,1828,West Malaysia,Kedah,FPX
ORD10028,2025-12-24,Home,Air Purifier,126,2,252,West Malaysia,Penang,GrabPay
ORD10030,2025-07-29,Electronics,Wireless Earbuds,3354,3,10062,West Malaysia,Kedah,FPX
ORD10031,2025-02-16,Electronics,Laptop,1022,2,2044,West Malaysia,Selangor,GrabPay
ORD10034,2025-12-13,Home,Air Purifier,410,4,1640,West Malaysia,Johor,TNG eWallet
ORD10035,2025-11-28,Electronics,Smartphone,713,1,713,West Malaysia,Kuala Lumpur,TNG eWallet
ORD10036,2025-08-12,Electronics,Wireless Earbuds,3875,2,7750,West Malaysia,Selangor,TNG eWallet
ORD10037,2025-11-28,Electronics,Smartwatch,1528,4,6112,West Malaysia,Selangor,FPX
ORD10038,2025-02-09,Electronics,Wireless Earbuds,2968,3,8904,West Malaysia,Kedah,Credit Card
ORD10039,2025-11-19,Electronics,Smartphone,381,2,762,West Malaysia,Kedah,GrabPay
ORD10040,2025-10-09,Fashion,T-Shirt,153,3,459,West Malaysia,Melaka,TNG eWallet
ORD10041,2025-08-28,Electronics,Smartwatch,654,2,1308,West Malaysia,Kedah,Credit Card
ORD10042,2025-09-20,Electronics,Smartphone,2018,3,6054,West Malaysia,Kedah,GrabPay
ORD10043,2025-12-07,Electronics,Laptop,1439,1,1439,West Malaysia,Melaka,GrabPay
ORD10046,2025-01-13,Home,Coffee Maker,529,2,1058,West Malaysia,Penang,FPX
ORD10047,2025-05-02,Fashion,Sneakers,311,3,933,West Malaysia,Kedah,FPX
ORD10048,2025-01-28,Fashion,Sneakers,65,2,130,West Malaysia,Perak,TNG eWallet
ORD10051,2025-11-25,Electronics,Smartphone,3744,4,14976,West Malaysia,Kuala Lumpur,TNG eWallet
ORD10054,2025-11-25,Home,Office Chair,698,2,1396,West Malaysia,Selangor,FPX
ORD10055,2025-04-06,Fashion,Sneakers,266,2,532,West Malaysia,Melaka,GrabPay
ORD10058,2025-11-02,Electronics,Smartwatch,4335,4,17340,West Malaysia,Melaka,FPX
ORD10061,2025-01-30,Fashion,T-Shirt,190,1,190,West Malaysia,Kuala Lumpur,FPX
ORD10063,2025-09-16,Fashion,Sneakers,223,2,446,West Malaysia,Johor,GrabPay
ORD10070,2025-04-13,Home,Desk Lamp,113,1,113,West Malaysia,Penang,TNG eWallet
ORD10073,2025-02-25,Electronics,Wireless Earbuds,1042,3,3126,West Malaysia,Johor,TNG eWallet
ORD10079,2025-02-23,Fashion,Sunglasses,382,4,1528,West Malaysia,Johor,Credit Card
ORD10080,2025-07-14,Home,Office Chair,600,3,1800,West Malaysia,Melaka,TNG eWallet
ORD10082,2025-08-14,Electronics,Wireless Earbuds,2389,1,2389,West Malaysia,Kuala Lumpur,FPX
ORD10084,2025-03-27,Fashion,Sunglasses,365,1,365,West Malaysia,Kuala Lumpur,FPX
ORD10087,2025-07-03,Fashion,T-Shirt,72,3,216,West Malaysia,Kedah,Credit Card
ORD10090,2025-07-22,Electronics,Wireless Earbuds,970,1,970,West Malaysia,Melaka,TNG eWallet
ORD10091,2025-08-19,Home,Coffee Maker,109,4,436,West Malaysia,Pahang,TNG eWallet
ORD10092,2025-07-29,Electronics,Laptop,3379,4,13516,West Malaysia,Pahang,GrabPay
ORD10094,2025-07-18,Fashion,Backpack,119,1,119,West Malaysia,Melaka,GrabPay
ORD10099,2025-06-21,Electronics,Laptop,865,4,3460,West Malaysia,Kuala Lumpur,FPX
ORD10102,2025-09-19,Fashion,Sunglasses,113,4,452,West Malaysia,Johor,GrabPay
ORD10106,2025-01-10,Home,Desk Lamp,729,2,1458,West Malaysia,Selangor,GrabPay
ORD10107,2025-05-21,Electronics,Laptop,2417,2,4834,West Malaysia,Selangor,Credit Card
ORD10108,2025-04-28,Home,Office Chair,492,4,1968,West Malaysia,Johor,GrabPay
ORD10109,2025-07-20,Home,Office Chair,263,1,263,West Malaysia,Penang,Credit Card
